Ref,Val,Package,PosX,PosY,Rot,Side
"C101","100n","C_0402_1005Metric",137.310000,-111.920000,180.000000,bottom
"C102","100n","C_0402_1005Metric",147.260000,-110.107500,90.000000,bottom
"C103","10u","C_0805_2012Metric",138.760000,-115.290000,0.000000,bottom
"C104","100n","C_0402_1005Metric",147.270000,-112.357500,-90.000000,bottom
"C201","10u","C_0805_2012Metric",136.040000,-82.080000,-90.000000,bottom
"C202","10u","C_0805_2012Metric",126.170000,-82.440000,-90.000000,bottom
"C203","100n","C_0402_1005Metric",126.060000,-84.750000,0.000000,bottom
"C204","2uF","C_2220_5750Metric",159.400000,-82.500000,-90.000000,bottom
"C205","100n","C_0402_1005Metric",133.940000,-89.520000,90.000000,bottom
"C206","100uF","T491C",149.730000,-91.300000,180.000000,bottom
"C207","100uF","T491C",142.300000,-82.600000,90.000000,bottom
"D106","GBLC12C","D_SOD-323",148.910000,-111.640000,-90.000000,bottom
"D201","GBLC12C","D_SOD-323",131.477500,-93.617500,90.000000,bottom
"F101","3.15A","SS5H315AAPH",239.300000,-90.530000,-90.000000,bottom
"IC201","TC1044SCOA","SOIC127P600X175-8N",131.180000,-81.450000,180.000000,bottom
"J101","1412410000","1412410000",196.840000,-79.775000,0.000000,bottom
"J103","SM02B-PASS-TBT","JST_SM02B-PASS-TBT_LF__SN_",237.120000,-77.660000,180.000000,bottom
"J111","1412410000","1412410000",126.472500,-112.400000,90.000000,bottom
"L201","220u","L_1210_3225Metric",125.310000,-93.200000,90.000000,bottom
"M101","BD6231F-E2","SOIC127P620X160-8N",142.310000,-111.287500,180.000000,bottom
"PS301","LD15-23B12R2","CONV_LD15-23B12R2",217.230000,-100.250000,-90.000000,bottom
"PS303","R-78K5.0-2.0","R78K5020",239.490000,-111.690000,90.000000,bottom
"Q206","MMBT2222A","SOT-23",142.700000,-92.062500,-90.000000,bottom
"R202","100k 1%","R_0402_1005Metric",124.770000,-88.500000,0.000000,bottom
"R204","100k 1%","R_0402_1005Metric",124.770000,-87.470000,180.000000,bottom
"R208","1k 1%","R_0402_1005Metric",124.830000,-90.000000,180.000000,bottom
"R212","220R 1%","R_1210_3225Metric",128.710000,-93.210000,-90.000000,bottom
"R217","10k 1%","R_0402_1005Metric",141.750000,-89.100000,90.000000,bottom
"RV301","B72214S0351K101","VAR_B72214S0131K101",233.500000,-94.200000,90.000000,bottom
"U201","LF353","SOIC127P599X175-8N",129.615000,-88.100000,0.000000,bottom
"U209","LT1054CSW-PBF","SO-16_SW_LIT",150.625000,-82.543900,90.000000,bottom
"A501","RED-BEET_2.0","RED-BEET_2.0",176.620000,-102.699980,0.000000,top
"C208","1n","C_0402_1005Metric",193.827400,-91.109800,180.000000,top
"C209","100n","C_0402_1005Metric",148.725000,-81.635000,90.000000,top
"C210","100n","C_0402_1005Metric",139.655000,-81.575000,90.000000,top
"C211","100n","C_0402_1005Metric",143.350000,-91.590000,90.000000,top
"C212","100n","C_0402_1005Metric",152.030000,-91.630000,90.000000,top
"C213","100n","C_0402_1005Metric",132.410000,-79.570000,0.000000,top
"C214","100n","C_0402_1005Metric",141.500000,-79.580000,0.000000,top
